frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
37,1777837102.819549,159.968264,120.194513,111.925471,14.880299,7.960553,7.856746,14.954941,7.966491,7.886701,0.012473,168.434848,132.823427,122.765268,11.417907,4.842318,5.270577,11.476806,4.821733,5.248383,-0.067458,165.612654,128.613789,119.152002,12.572038,5.881730,6.132633,12.636184,5.869985,6.127822,0.073905
38,1777837102.885095,161.227887,120.331286,112.222768,15.149479,8.029753,7.972559,14.974214,7.893782,7.883421,0.007115,168.915385,132.865618,122.750466,11.707494,5.264712,5.868121,11.590200,5.170505,5.772587,-0.041415,166.352885,128.687507,119.241234,12.854822,6.186392,6.569600,12.718204,6.078264,6.476199,0.013308
39,1777837102.946782,161.227887,120.331286,112.222768,13.818206,7.154877,7.242437,13.133328,6.761989,6.885727,-0.001193,168.915385,132.865618,122.750466,10.724820,4.935738,5.681363,10.178128,4.664674,5.416687,-0.024389,166.352885,128.687507,119.241234,11.755949,5.675451,6.201721,11.163195,5.363779,5.906367,-0.046209
40,1777837103.011161,160.773956,119.685913,112.150696,10.413914,5.132075,5.427062,9.229239,4.481208,4.795197,-0.012125,168.689610,132.328335,121.980992,8.053896,3.716791,4.571653,7.070326,3.253798,4.127174,-0.016410,166.051059,128.114195,118.704227,8.840569,4.188552,4.856789,7.789964,3.662935,4.349848,-0.104793
41,1777837103.073484,160.773956,119.685913,112.150696,4.487055,1.767823,2.280334,3.812551,1.401722,1.916220,-0.022955,168.689610,132.328335,121.980992,3.276697,1.480638,2.413621,2.711269,1.199960,2.147815,-0.015146,166.051059,128.114195,118.704227,3.680150,1.576367,2.369192,3.078363,1.267214,2.070617,-0.155244
42,1777837103.134393,114.839971,94.389707,87.598472,-2.795007,-2.252137,-1.573026,-2.080451,-1.835508,-1.189066,-0.030453,130.230971,115.028490,104.949853,-2.661005,-1.300632,-0.341742,-2.074534,-1.021628,-0.078491,-0.017668,125.100638,108.148896,99.166059,-2.705673,-1.617801,-0.752170,-2.076507,-1.292921,-0.448683,-0.189049
43,1777837103.190437,113.320786,93.268594,86.748500,-8.585701,-5.318894,-4.603004,-7.309542,-4.548432,-3.907205,-0.031607,129.297834,112.891085,102.940286,-7.409932,-3.477375,-2.593343,-6.372833,-2.904454,-2.073508,-0.021088,123.972151,106.350255,97.543024,-7.801855,-4.091214,-3.263230,-6.685069,-3.452446,-2.684740,-0.198391
44,1777837103.236304,113.320786,93.268594,86.748500,-11.641608,-6.695048,-6.135333,-10.940502,-6.219901,-5.740443,-0.024259,129.297834,112.891085,102.940286,-9.971121,-4.447531,-3.786538,-9.422808,-4.072292,-3.465590,-0.023039,123.972151,106.350255,97.543024,-10.527950,-5.196703,-4.569470,-9.928706,-4.788161,-4.223874,-0.177862
45,1777837103.283477,117.224266,96.463954,89.040691,-12.564302,-6.707711,-6.491521,-12.494706,-6.635376,-6.441944,-0.007885,132.028629,115.847808,104.618668,-10.854669,-4.415836,-4.115880,-10.825151,-4.375980,-4.083804,-0.022187,127.093841,109.386523,99.426009,-11.424547,-5.179794,-4.907760,-11.381670,-5.129112,-4.869851,-0.126661
46,1777837103.349060,116.469828,98.515367,89.160232,-12.100596,-5.902478,-6.099623,-12.222135,-6.019159,-6.166422,0.014802,130.914006,117.541507,105.181886,-10.639222,-3.825914,-3.925267,-10.756852,-3.960613,-4.027002,-0.019242,126.099280,111.199460,99.841335,-11.126347,-4.518102,-4.650052,-11.245279,-4.646795,-4.740142,-0.053003
47,1777837103.394449,116.469828,98.515367,89.160232,-10.782752,-4.760408,-5.286082,-10.891715,-4.898865,-5.355623,0.038847,130.914006,117.541507,105.181886,-9.721579,-3.061336,-3.504821,-9.797804,-3.171705,-3.580934,-0.015798,126.099280,111.199460,99.841335,-10.075303,-3.627693,-4.098575,-10.162441,-3.747425,-4.172497,0.029474
48,1777837103.442554,117.925520,99.753686,90.306616,-9.021884,-3.587960,-4.301369,-9.161816,-3.727381,-4.395815,0.060353,130.749561,116.702193,103.746053,-8.380239,-2.288379,-2.992730,-8.434914,-2.320192,-3.003233,-0.011800,126.474881,111.052691,99.266241,-8.594121,-2.721573,-3.428943,-8.677215,-2.789255,-3.467427,0.111302
49,1777837103.492945,117.925520,99.753686,90.306616,-7.244287,-2.629901,-3.400055,-7.414290,-2.759536,-3.518166,0.076276,130.749561,116.702193,103.746053,-6.871002,-1.561823,-2.433940,-6.949785,-1.590460,-2.449902,-0.006414,126.474881,111.052691,99.266241,-6.995431,-1.917849,-2.755978,-7.104620,-1.980152,-2.805990,0.184910
50,1777837103.532211,116.826087,98.362505,89.556485,-5.722084,-2.005927,-2.736447,-5.878221,-2.101735,-2.847716,0.083708,131.191358,117.513197,104.375160,-5.416846,-0.977645,-1.927046,-5.533038,-1.062513,-2.003101,0.000585,126.402934,111.129633,99.435601,-5.518592,-1.320406,-2.196846,-5.648099,-1.408920,-2.284640,0.241105
51,1777837103.574974,116.826087,98.362505,89.556485,-4.577952,-1.713985,-2.366511,-4.669475,-1.756068,-2.424675,0.080951,131.191358,117.513197,104.375160,-4.212169,-0.675387,-1.625405,-4.310192,-0.755246,-1.700592,0.008910,126.402934,111.129633,99.435601,-4.334097,-1.021586,-1.872440,-4.429953,-1.088853,-1.941953,0.271870
52,1777837103.616068,113.619906,95.877569,86.784169,-3.808296,-1.689376,-2.246479,-3.811121,-1.670651,-2.228009,0.068104,129.187784,115.041133,101.923315,-3.318911,-0.662774,-1.553243,-3.348302,-0.669321,-1.565472,0.017741,123.998492,108.653278,96.876933,-3.482040,-1.004975,-1.784321,-3.502575,-1.003097,-1.786317,0.272564
53,1777837103.693024,113.228500,95.508672,86.720365,-3.277514,-1.795553,-2.234456,-3.246414,-1.757335,-2.192942,0.047155,128.885746,114.756892,101.840923,-2.662542,-0.807517,-1.604160,-2.653917,-0.779389,-1.591649,0.025896,123.666664,108.340819,96.800737,-2.867533,-1.136862,-1.814259,-2.851416,-1.105371,-1.792080,0.243385
54,1777837103.754501,113.228500,95.508672,86.720365,-2.916336,-1.955537,-2.265909,-2.899988,-1.932957,-2.250170,0.021515,128.885746,114.756892,101.840923,-2.198779,-1.045935,-1.741522,-2.195336,-1.031875,-1.736511,0.032144,123.666664,108.340819,96.800737,-2.437965,-1.349136,-1.916318,-2.430220,-1.332236,-1.907731,0.189495
